country_name,country_code,year,population,poverty_ratio,pop_growth,gdp_per_capita,gdp_growth,sanitation,electricity,water_access,co2_emissions,slum_population,labor_force
Northern Mariana Islands,MNP,2009,-0.2518410014232182,-0.7281217388555972,-2.815920875680905,-0.0553745961538875,-3.599555133271941,1.2311964163054028,0.6197653781848381,0.6671259537346229,-0.5466457381852067,-0.8615980607288011,7.01494903922213e-16
Estonia,EST,2014,-0.2421979157988991,-0.6982426534765999,-0.962902595946257,0.1978880278641855,-0.0076586734522337,1.3479672555865685,0.6197653781848381,0.7254280833942771,1.4282327035678657,-0.9614429953639878,0.0182425697439764
Bangladesh,BGD,2018,0.9999924987365544,-0.3374634885271493,-0.2900632488846807,-0.5610876636285936,0.6793363066811937,-0.9226363764231732,0.1568540880695131,0.6069102009078206,-0.4702496688044161,0.8710981951230418,-0.1934273268457508
Cabo Verde,CPV,2009,-0.2483886600620478,0.567733714431432,-0.2098537381588548,-0.4920057490360112,-0.8372832612962194,-0.1806328078124263,-0.2954561801347743,-0.2798214142559099,-0.3804930313904135,0.8877659421699934,-0.4989862493948209
Afghanistan,AFG,2012,-0.0182364519148416,0.9961125115505416,1.7143380147500022,-0.6146508991289249,1.613214162685057,-0.8529763271229823,-0.472139878652074,-1.9512118155690792,-0.508792559704751,1.3862668395839184,-1.3761723646932014
Eswatini,SWZ,2003,-0.2440959086488851,1.751146927475992,-0.3758563131526646,-0.5572170478821008,0.0881590807328279,-1.026715343808155,-1.899744162671855,-1.84618391232907,-0.4352108822410901,1.0806172798184406,-0.7665354190581425
Sint Maarten (Dutch part),SXM,2014,-0.2519838457841324,-0.7077147551818197,0.6012179160248241,0.8727402532978118,-0.3071678829947973,0.8667320575038059,0.6197653781848381,0.4665699382981703,-0.2761370433933645,-0.9105320543415132,7.01494903922213e-16
Guatemala,GTM,2013,-0.1344287108710604,0.2400469554394591,0.4134829661133102,-0.5007939188992122,0.056290858332251,-0.0428790685973977,0.1992581757136647,0.2338609447116406,-0.4424706570143498,-0.0211483893024365,-0.0666623328060074
French Polynesia,PYF,2000,-0.2504241826325966,-0.7419102413378793,0.1747286027062425,-0.0305589830302193,-0.0209596272184357,1.3445823313222898,0.6197653781848381,0.7419756985974475,-0.192594951598224,-0.9649393192799792,-0.2300549068992906
Virgin Islands (U.S.),VIR,2007,-0.2514350364170109,-0.710400515665325,-0.818346098881435,1.159084255593502,0.1105706469846718,1.5951318444472316,0.6197653781848381,0.6667005476373437,-0.5464271067441319,-0.832138584335513,0.242253295192713
